name typeOfResouece URL;
Gambia  Est Foundation  malesuada.fames.ac@nostraperinceptos.edu
Costa Rica  Nunc Quisque Institute  magna.tellus@vitaeeratVivamus.co.uk
Guatemala  Magna Praesent Corp.  sem.mollis.dui@loremtristique.com
Solomon Islands  Suscipit Corporation  Lorem.ipsum.dolor@tortorInteger.ca
Oman  Sodales LLP  tristique.senectus@congue.co.uk
Nepal  Nec Metus Associates  dignissim.lacus@dolortempus.net
Timor-Leste  Laoreet Libero Company  nec.malesuada.ut@Mauris.edu
Virgin Islands, United States  Velit PC  Nulla.tempor.augue@magnisdisparturient.net
Chad  Sodales Purus In Consulting  Pellentesque.habitant.morbi@Cumsociisnatoque.co.uk
Sint Maarten  Ac Sem Ut Foundation  mi@lacusQuisque.com
Vanuatu  Donec Company  luctus.lobortis.Class@Donec.net
Dominican Republic  Justo Sit Amet Corporation  lorem@nullaIntincidunt.co.uk
Niue  Class Aptent Taciti Company  Lorem@volutpatornare.edu
Slovenia  Duis Cursus Incorporated  id.ante.dictum@fermentumrisusat.edu
Angola  Tellus LLC  nec.diam.Duis@dictumeleifend.com
Serbia  Amet Nulla Donec LLC  amet@etipsumcursus.edu
Guyana  Dignissim Tempor Arcu Corp.  et@eleifendnuncrisus.co.uk
Reunion  Ligula Elit Pretium LLC  imperdiet.ullamcorper@veliteu.ca
Lebanon  Purus Ac Company  malesuada@loremacrisus.co.uk
Bahamas  At Nisi LLC  mauris.sit.amet@nequevitaesemper.edu
Rwanda  Donec PC  nascetur.ridiculus.mus@estconguea.ca
Uruguay  Vel Vulputate Ltd  Proin.mi@elitpede.co.uk
British Indian Ocean Territory  Augue Ac Ipsum Inc.  netus.et@pulvinararcuet.edu
Croatia  Nulla PC  convallis@quamdignissimpharetra.ca
Denmark  Auctor Quis Tristique Institute  Pellentesque.habitant@metusAeneansed.net
Congo, the Democratic Republic of the  Cursus Et Eros Corp.  lacinia@velitCras.net
Germany  Elementum Incorporated  et.nunc@necurna.com
Honduras  Metus Aliquam PC  ullamcorper.nisl@cursusIntegermollis.net
Malaysia  Ullamcorper Duis At Foundation  cursus@acsemut.com
Hong Kong  Magna Corporation  elit.Curabitur@ipsumporta.ca
